Disk Power (W), Time (S), 
20.319, 496.422201, 
17.763, 497.423204, 
20.264, 498.423231, 
19.626, 499.423237, 
19.665, 500.423311, 
20.148, 501.423323, 
20.451, 502.423269, 
19.797, 503.423316, 
18.978, 504.423320, 
19.513, 505.423340, 
19.446, 506.423317, 
20.122, 507.423402, 
18.775, 508.423331, 
19.223, 509.423360, 
18.272, 510.423379, 
19.900, 511.423409, 
17.647, 512.423422, 
20.084, 513.423393, 
17.586, 514.423444, 
19.268, 515.423413, 
17.754, 516.423441, 
19.204, 517.423482, 
19.217, 518.423472, 
20.116, 519.423490, 
19.533, 520.423505, 
19.239, 521.423514, 
18.704, 522.423512, 
19.678, 523.423544, 
19.797, 524.423549, 
18.617, 525.423588, 
20.583, 526.423614, 
19.549, 527.423584, 
19.178, 528.423596, 
19.787, 529.423605, 
19.868, 530.423625, 
19.935, 531.424625, 
19.349, 532.424654, 
20.006, 533.424658, 
20.077, 534.424671, 
18.998, 535.424686, 
19.507, 536.424697, 
19.968, 537.424823, 
19.381, 538.424711, 
18.737, 539.424777, 
20.045, 540.424739, 
20.116, 541.424758, 
18.801, 542.424762, 
19.897, 543.424788, 
19.288, 544.424781, 
19.881, 545.424808, 
19.130, 546.424819, 
19.687, 547.424836, 
18.359, 548.424846, 
19.616, 549.424861, 
18.585, 550.424973, 
19.452, 551.424961, 
17.712, 552.424884, 
19.687, 553.424941, 
19.326, 554.424970, 
19.922, 555.424927, 
19.507, 556.424938, 
19.887, 557.424956, 
19.365, 558.424977, 
20.071, 559.424977, 
19.046, 560.425000, 
18.923, 561.425003, 
19.313, 562.425020, 
18.727, 563.425021, 
19.626, 564.425071, 
18.530, 565.426074, 
19.571, 566.426068, 
17.438, 567.426073, 
19.088, 568.426123, 
18.234, 569.426193, 
20.499, 570.426141, 
17.583, 571.426149, 
20.747, 572.426174, 
18.115, 573.426213, 
19.391, 574.426189, 
21.067, 575.426189, 
19.204, 576.426199, 
19.732, 577.426247, 
19.404, 578.426178, 
20.116, 579.426202, 
19.107, 580.426194, 
20.187, 581.426230, 
19.974, 582.426250, 
19.114, 583.426249, 
18.585, 584.426280, 
20.332, 585.426291, 
19.139, 586.426371, 
20.000, 587.426351, 
18.759, 588.426325, 
19.336, 589.426333, 
19.252, 590.426431, 
18.608, 591.426442, 
19.123, 592.426458, 
17.541, 593.426465, 
19.413, 594.426399, 
18.688, 595.426417, 
18.659, 596.426399, 
19.246, 597.426451, 
19.729, 598.426442, 
20.522, 599.427465, 
20.045, 600.427635, 
19.697, 601.427500, 
20.045, 602.427524, 
20.016, 603.427523, 
19.049, 604.427530, 
19.787, 605.427512, 
19.455, 606.427559, 
19.046, 607.427571, 
20.177, 608.427568, 
19.413, 609.427589, 
20.519, 610.427614, 
19.342, 611.427604, 
19.146, 612.427632, 
20.071, 613.427639, 
19.233, 614.427659, 
18.733, 615.427651, 
20.370, 616.427703, 
18.898, 617.427686, 
19.665, 618.427695, 
19.719, 619.427714, 
19.017, 620.427725, 
19.094, 621.427741, 
17.773, 622.427746, 
20.122, 623.427772, 
19.091, 624.427778, 
21.005, 625.427771, 
20.061, 626.427809, 
