GPU_Power(W),Time(S), 
72,20.13153, 
72,20.147238, 
72,20.162967, 
72,20.17863, 
72,20.194336, 
72,20.211755, 
72,20.227543, 
72,20.243244, 
72,20.258998, 
72,20.274797, 
72,20.290524, 
72,20.306266, 
72,20.323627, 
72,20.339426, 
72,20.355123, 
72,20.370777, 
72,20.386476, 
72,20.402344, 
72,20.41977, 
72,20.435531, 
72,20.451215, 
72,20.466951, 
72,20.482701, 
72,20.498475, 
72,20.515927, 
72,20.531664, 
72,20.547323, 
72,20.563052, 
72,20.578767, 
72,20.59452, 
72,20.61194, 
72,20.627653, 
72,20.643394, 
72,20.659143, 
72,20.674919, 
72,20.690713, 
72,20.706448, 
72,20.723643, 
72,20.739382, 
72,20.755066, 
72,20.77082, 
72,20.786459, 
72,20.802194, 
72,20.819446, 
72,20.835244, 
72,20.851069, 
72,20.866777, 
72,20.882434, 
72,20.898154, 
72,20.915507, 
72,20.931158, 
72,20.946891, 
72,20.962584, 
72,20.978311, 
72,20.994033, 
72,21.01199, 
72,21.02778, 
72,21.043445, 
72,21.059131, 
72,21.074828, 
72,21.090534, 
72,21.106326, 
72,21.123587, 
72,21.139312, 
72,21.155002, 
72,21.170718, 
72,21.18642, 
72,21.20222, 
72,21.219493, 
72,21.235224, 
72,21.250993, 
72,21.266752, 
72,21.282563, 
72,21.29821, 
72,21.315565, 
72,21.331274, 
72,21.347037, 
72,21.362827, 
72,21.378538, 
72,21.394185, 
72,21.411897, 
72,21.427692, 
72,21.443414, 
72,21.459168, 
72,21.474986, 
72,21.490627, 
72,21.506332, 
72,21.523708, 
72,21.539378, 
72,21.555095, 
72,21.570747, 
72,21.586438, 
72,21.602172, 
72,21.61957, 
72,21.635327, 
72,21.650986, 
72,21.666724, 
72,21.682413, 
72,21.698112, 
72,21.715491, 
72,21.73119, 
72,21.746885, 
72,21.762612, 
72,21.778333, 
72,21.794065, 
72,21.811867, 
72,21.827536, 
72,21.843238, 
72,21.858938, 
72,21.874696, 
72,21.890543, 
72,21.906269, 
72,21.923518, 
72,21.93923, 
72,21.954963, 
72,21.970683, 
72,21.986466, 
72,22.002125, 
72,22.019551, 
72,22.035246, 
72,22.050973, 
72,22.066704, 
72,22.082377, 
72,22.098009, 
74,22.115357, 
74,22.131064, 
74,22.146766, 
74,22.162542, 
74,22.178213, 
74,22.19382, 
78,22.211972, 
78,22.227851, 
78,22.243483, 
78,22.259163, 
78,22.274808, 
78,22.290461, 
78,22.306165, 
85,22.323374, 
85,22.339089, 
85,22.354781, 
85,22.370409, 
85,22.386075, 
85,22.401747, 
89,22.419108, 
89,22.434875, 
89,22.450577, 
89,22.466185, 
89,22.481827, 
89,22.497448, 
99,22.514884, 
99,22.530502, 
99,22.546154, 
99,22.56178, 
99,22.577472, 
99,22.593184, 
104,22.611255, 
104,22.626865, 
104,22.642536, 
104,22.6582, 
104,22.675353, 
104,22.691019, 
104,22.706639, 
106,22.723826, 
106,22.739568, 
106,22.755184, 
106,22.770807, 
106,22.786437, 
106,22.802059, 
106,22.819186, 
106,22.834816, 
106,22.850441, 
106,22.866059, 
106,22.881655, 
106,22.897246, 
107,22.914416, 
107,22.930008, 
107,22.9456, 
107,22.961319, 
107,22.97698, 
107,22.992639, 
105,23.011235, 
105,23.026909, 
105,23.04256, 
105,23.058234, 
105,23.073961, 
105,23.089648, 
105,23.105397, 
102,23.122732, 
102,23.138425, 
102,23.154114, 
102,23.169805, 
102,23.185522, 
102,23.201214, 
106,23.218473, 
106,23.234193, 
106,23.249912, 
106,23.2656, 
106,23.281325, 
106,23.297048, 
118,23.314466, 
118,23.330188, 
118,23.345932, 
118,23.361695, 
118,23.37742, 
118,23.393141, 
113,23.41129, 
113,23.427063, 
113,23.442828, 
113,23.458583, 
113,23.474334, 
113,23.490087, 
113,23.505847, 
100,23.523293, 
100,23.539014, 
100,23.554765, 
100,23.570482, 
100,23.586204, 
100,23.601924, 
96,23.619302, 
96,23.635015, 
96,23.650797, 
96,23.666544, 
96,23.682222, 
96,23.69794, 
95,23.715326, 
95,23.731045, 
95,23.746795, 
95,23.762545, 
95,23.778266, 
95,23.793986, 
94,23.811334, 
94,23.826994, 
94,23.842822, 
94,23.858576, 
94,23.874297, 
94,23.890113, 
94,23.905806, 
94,23.923131, 
94,23.938954, 
94,23.954732, 
94,23.970525, 
94,23.986317, 
94,24.002116, 
94,24.019625, 
94,24.035364, 
94,24.051203, 
94,24.067009, 
94,24.08279, 
94,24.098628, 
94,24.116006, 
94,24.131809, 
94,24.147601, 
94,24.163448, 
94,24.179172, 
94,24.194943, 
93,24.21248, 
93,24.228274, 
93,24.243971, 
93,24.25979, 
93,24.275535, 
93,24.291289, 
93,24.307072, 
94,24.324476, 
94,24.340279, 
94,24.356009, 
94,24.371826, 
94,24.38766, 
94,24.403539, 
94,24.421157, 
94,24.436879, 
94,24.453458, 
94,24.46982, 
94,24.486004, 
94,24.505824, 
96,24.523943, 
96,24.539631, 
96,24.555549, 
96,24.571248, 
96,24.587013, 
96,24.602709, 
95,24.620494, 
95,24.63617, 
