GPU_Power(W),Time(S), 
95,25.436629, 
95,25.452314, 
95,25.467941, 
95,25.483586, 
95,25.499204, 
95,25.514906, 
95,25.530527, 
95,25.547899, 
95,25.563526, 
95,25.579161, 
95,25.594778, 
95,25.610404, 
95,25.626164, 
95,25.643547, 
95,25.659219, 
95,25.674928, 
95,25.690642, 
95,25.706388, 
95,25.722069, 
95,25.739558, 
95,25.755188, 
95,25.770855, 
95,25.786511, 
95,25.802131, 
95,25.817761, 
95,25.836668, 
95,25.852348, 
95,25.868106, 
95,25.883727, 
95,25.899424, 
95,25.915047, 
95,25.93072, 
95,25.948002, 
95,25.963648, 
95,25.981368, 
95,25.996989, 
95,26.012686, 
95,26.028316, 
85,26.043977, 
85,26.059676, 
85,26.075354, 
85,26.09103, 
85,26.106744, 
85,26.122426, 
78,26.139337, 
78,26.155008, 
78,26.170687, 
78,26.186316, 
78,26.201952, 
78,26.217621, 
