CPU_Power(W),DRAM_Power(W),Time(S),
60.54,12.45,17.927933, 
55.42,12.06,17.948507, 
57.35,12.45,17.969965, 
56.5,12.33,17.991375, 
59.94,12.1,18.011398, 
57.88,12.24,18.031591, 
57.43,12.34,18.052704, 
57.97,12.73,18.072748, 
58.13,12.51,18.093586, 
57.64,12.71,18.113557, 
56.65,12.42,18.134239, 
58.66,12.77,18.154947, 
58.83,12.21,18.175616, 
56.01,12.4,18.195757, 
58.73,12.56,18.215915, 
58.81,12.64,18.236542, 
57.16,12.63,18.256776, 
58.47,12.43,18.277143, 
58.38,12.27,18.29776, 
57.28,12.5,18.318393, 
58.77,12.49,18.338991, 
57.86,12.83,18.358865, 
58.09,12.41,18.379487, 
58.74,12.48,18.400076, 
57.72,12.45,18.420232, 
57.69,12.33,18.440868, 
59.15,12.49,18.461383, 
57.53,12.76,18.481454, 
58.47,12.38,18.501923, 
59.66,12.28,18.522569, 
55.76,12.55,18.543151, 
59.52,12.74,18.563198, 
58.47,12.45,18.583644, 
56.83,12.65,18.604152, 
59.13,12.49,18.624296, 
58.39,12.64,18.644887, 
56.88,12.51,18.665543, 
59.63,12.68,18.685743, 
56.51,12.6,18.7064, 
58.51,12.41,18.727203, 
56.05,12.25,18.747672, 
58.61,12.48,18.767685, 
58.4,12.72,18.788235, 
56.83,12.56,18.808865, 
59.87,12.43,18.828989, 
56.87,12.62,18.849617, 
57.3,12.76,18.870505, 
57.15,12.43,18.891214, 
59.56,12.75,18.911159, 
57.62,12.2,18.931528, 
56.25,12.34,18.952198, 
58.97,12.42,18.97224, 
58.25,12.68,18.992734, 
58.13,11.99,19.013398, 
59.59,12.37,19.033581, 
59.08,12.05,19.054194, 
58.23,12.52,19.074826, 
58.65,12.78,19.094772, 
57.81,12.52,19.115, 
57.89,12.73,19.135458, 
57.53,12.11,19.156607, 
59.75,12.69,19.17655, 
55.38,12.24,19.197189, 
58.07,12.6,19.218359, 
56.73,12.5,19.239696, 
59.88,12.29,19.25969, 
55.11,12.6,19.280265, 
58.45,12.69,19.301313, 
57.77,12.61,19.321595, 
58.2,12.01,19.342205, 
57.78,12.6,19.363331, 
56.31,12.27,19.385075, 
58.33,12.82,19.404782, 
56.42,12.34,19.426153, 
55.79,12.36,19.44747, 
59.74,12.47,19.468551, 
58.15,12.78,19.488598, 
57.06,12.49,19.509404, 
55.59,12.25,19.530951, 
57.77,12.41,19.552145, 
57.16,12.87,19.571754, 
57.31,12.49,19.592524, 
54.84,12.37,19.614206, 
56.44,12.77,19.635746, 
57.44,12.54,19.655868, 
58.16,11.98,19.676578, 
54.12,12.54,19.69831, 
57.83,12.52,19.719796, 
57.63,12.53,19.740163, 
58.04,12.25,19.7607, 
54.54,12.3,19.782437, 
57.55,11.87,19.804003, 
56.86,12.37,19.824034, 
57.22,12.57,19.844811, 
55.95,12.55,19.866395, 
56.55,12.09,19.888376, 
58.98,13.15,19.908249, 
56.39,12.56,19.928897, 
55.94,12.03,19.950703, 
57.63,12.15,19.972246, 
